IDs	original.IDs	studies	DB.IDs	PubChem.CIDs	preferred.drug.names	collections	Santi.MoAs	main.MoAs	collapsed.MoAs
sig-20986	A36057565	PRISM	NA	91930061	BRUCEANTIN	SSc	protein synthesis inhibitor	Protein synthesis inhibitor	Protein synthesis inhibitor
sig-21215	K54997624	CTRP	NA	56649450	BYL-719	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21048	K06858286	PRISM	DB06772	9854073	CABAZITAXEL	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21202	K51544265	CTRP	DB08875	25102847	CABOZANTINIB	SSc	VEGFR inhibitor	Multi-kinase inhibitor	VEGFR inhibitor
sig-21129	K27316855	PRISM	DB00136	5280453	CALCITRIOL	SSc	NA	Vitamin D receptor agonist	Other
sig-20879	1003	GDSC	DB04690	24360	CAMPTOTHECIN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21166	K37890730	PRISM	DB04690	24360	CAMPTOTHECIN	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-21198	K50168500	CTRP	DB05424	156414	CANERTINIB	SSc	AKT inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21199	K50168500	PRISM	DB05424	156414	CANERTINIB	SSc	NA	ErbB inhibitor	EGFR inhibitor
sig-21448	M63575423	CTRP	NA	NA	CARBOPLATIN:ETOPOSIDE (40:17 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21083	K15179879	PRISM	DB08889	11556711	CARFILZOMIB	SSc	NA	Ubiquitin-proteasome system inhibitor	Ubiquitin-proteasome system inhibitor
sig-21358	K83289131	CTRP	NA	44819697	CAY10618	SSc	inhibitor of nicotinamide phosphoribosyltransferase	NAMPT inhibitor	NAMPT inhibitor
sig-21124	K25737009	CTRP	NA	24868309	CD-1530	SSc	Other	Retinoid acid receptor agonist	Other
sig-21133	K28907958	CTRP	NA	135411	CD-437	SSc	Other	Retinoid acid receptor agonist	Other
sig-20923	1709	GDSC	NA	NA	CDK9_5038	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-20922	1708	GDSC	NA	NA	CDK9_5576	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21373	K86930074	CTRP	DB04849	9933475	CEDIRANIB	SSc	VEGFR inhibitor	VEGFR inhibitor	VEGFR inhibitor
sig-21104	K20722021	PRISM	NA	56846693	CEP-32496	SSc	NA	RAF inhibitor	BRAF inhibitor
sig-21295	K68904758	PRISM	NA	6436208	CEPHALOMANNINE	SSc	DNA related agent	Microtubule agent	Microtubule agent
sig-21143	K31514534	CTRP	NA	72193861	CERANIB-2	SSc	Other	Lipid metabolism inhibitor	Metabolism disruptor
sig-21313	K71487808	CTRP	NA	6184667	CH-55	SSc	Other	Retinoid acid receptor agonist	Other
sig-21031	K02241333	PRISM	DB06852	11502647	CHIR-124	SSc	CHK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21137	K29458283	CTRP	DB00291	2708	CHLORAMBUCIL	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21402	K94145482	CTRP	NA	375860	CHM-1	SSc	Other	Microtubule agent	Microtubule agent
sig-21073	K13044802	CTRP	DB01188	2749	CICLOPIROX	SSc	Other	Antifungal agent	Other
sig-20990	A38030642	CTRP	DB00091	5284373	CICLOSPORIN	SSc	Other	Immunosuppressive agent	Other
sig-21065	K11740178	CTRP	NA	654092	CIL56	SSc	Other	Ferroptosis inducer	Ferroptosis inducer
sig-21397	K93034159	PRISM	DB00242	20279	CLADRIBINE	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21148	K34022604	CTRP	DB00631	119182	CLOFARABINE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21121	K24869513	PRISM	NA	56968072	CNX-2006	SSc	NA	ErbB inhibitor	EGFR inhibitor
sig-21037	K03390685	PRISM	DB05239	16222096	COBIMETINIB	SSc	NA	MAPK inhibitor	MAPK inhibitor
sig-21006	A59431241	CTRP	NA	73707525	COL-3	SSc	Other	Proteolysis inhibitor	Other
sig-21021	K00259736	PRISM	DB01394	6167	COLCHICINE	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21246	K61195623	PRISM	DB14680	5351344	COMBRETASTATIN-A-4	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-20996	A42556028	CTRP	NA	2874250	COMPOUND 1B	SSc	NA		Other
sig-21112	K23547378	CTRP	NA	56946209	CR-1-31B	SSc	Other	Transcription inhibitor	Transcription inhibitor
sig-21335	K78431006	CTRP	DB08865	11626560	CRIZOTINIB	SSc	Other	Multi-kinase inhibitor	MET inhibitor
sig-21460	M95284333	CTRP	NA	71484070	CRIZOTINIB:PLX-4032 (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21458	M89827113	PRISM	NA	76968376	CROMAKALIM	SSc	NA	Ion channel activator	Other
sig-20978	A28105619	CTRP	NA	73707401	CUCURBITACIN I	SSc	NA	JAK-STAT signaling inhibitor	JAK-STAT signaling inhibitor
sig-21172	K41278234	PRISM	DB12174	24756910	CUDC-101	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21332	K77638923	PRISM	DB11891	54575456	CUDC-907	SSc	mTOR/PI3K inhibitor	Chromatin agent	Chromatin agent;PI3K/AKT/mTOR signaling inhibitor
sig-21332	K77638923	PRISM	DB11891	54575456	CUDC-907	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	Chromatin agent;PI3K/AKT/mTOR signaling inhibitor
sig-21284	K67536197	PRISM	NA	25051	CYCLOCYTIDINE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-20881	1006	GDSC	DB00987	6253	CYTARABINE	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21144	K33106058	CTRP	NA	6253	CYTARABINE HYDROCHLORIDE	SSc	NA	DNA replication inhibitor	DNA related agent
sig-21127	K26997899	PRISM	NA	3921152	D-64131	SSc	Microtubule agents	Microtubule agent	Microtubule agent
